date,region,season,disaster_type,hazard_level,temperature_c,rainfall_mm,wind_kmh,cyber_incidents,phishing_reports,misinformation_reports,vulnerability_alerts,donation_scam_reports,risk_score,anomaly_flag
30-09-2024,Bendigo,Spring,None,Medium,17.9,6.1,16,3,3,2,4,3,44.6,0
01-10-2024,Ballarat,Spring,Storm,High,22,20.6,14.3,11,7,4,7,3,79.4,0
02-10-2024,Bendigo,Spring,None,Low,18.9,4.8,16.4,8,2,2,1,1,27.5,0
03-10-2024,Bendigo,Spring,None,Low,25,1.6,16.2,7,1,3,4,0,35.3,0
04-10-2024,Bendigo,Spring,None,Low,24.9,5.9,26.4,6,3,3,0,2,27.3,0
05-10-2024,Shepparton,Spring,None,Medium,22.8,1.2,21.7,11,9,4,3,5,64,0
06-10-2024,Melbourne Metro,Spring,None,Low,19.6,6.6,34.9,3,4,2,3,2,27.7,0
07-10-2024,Shepparton,Spring,None,Low,25,1.9,5,5,3,2,1,1,25.4,0
08-10-2024,Shepparton,Spring,Flood,High,22.3,14.5,30.2,15,6,5,3,4,77.9,0
09-10-2024,Shepparton,Spring,None,Low,23,3.6,34.3,27,11,10,4,5,59.4,1
10-10-2024,Melbourne Metro,Spring,None,Low,14.6,3,20.6,8,3,1,2,2,15.1,0
11-10-2024,Melbourne Metro,Spring,None,Medium,21.6,5.5,23.4,9,3,3,1,0,38.4,0
12-10-2024,Bendigo,Spring,Storm,High,22.3,13.2,39.4,5,9,3,2,2,72.6,0
13-10-2024,Shepparton,Spring,None,Low,16.8,7.2,33.4,5,3,2,4,2,28.6,0
14-10-2024,Ballarat,Spring,None,Low,20.7,5.6,22,6,3,2,1,1,20.4,0
15-10-2024,Melbourne Metro,Spring,None,Low,15.6,3.3,32.8,22,8,9,1,8,60.3,1
16-10-2024,Geelong,Spring,None,Low,26.8,3.2,21.3,5,4,4,3,0,26.7,0
17-10-2024,Geelong,Spring,None,Low,21.4,8,31.1,1,3,2,2,1,28.7,0
18-10-2024,Geelong,Spring,None,Low,26.6,3.6,20,6,1,2,0,2,24.5,0
19-10-2024,Gippsland,Spring,None,Low,18.2,7.5,36.6,6,7,2,3,2,33.8,0
20-10-2024,Bendigo,Spring,None,Low,20.6,5.6,22.2,3,0,2,5,0,26.3,0
21-10-2024,Geelong,Spring,None,Low,21.9,9.3,24.2,9,5,5,1,0,31.5,0
22-10-2024,Bendigo,Spring,None,Low,22.4,7.9,18.9,7,3,1,5,1,30.5,0
23-10-2024,Geelong,Spring,None,Low,19.6,0.5,27.6,5,2,3,2,3,24.7,0
24-10-2024,Ballarat,Spring,None,Low,18.8,3.9,30.6,10,12,9,8,6,70.4,1
25-10-2024,Bendigo,Spring,Flood,Severe,21.7,23,18.8,38,14,12,7,8,100,1
26-10-2024,Geelong,Spring,None,Low,18.7,1,25.1,7,5,4,1,0,30.7,0
27-10-2024,Melbourne Metro,Spring,None,Medium,24.3,8.4,26.7,3,3,2,5,0,47.4,0
28-10-2024,Bendigo,Spring,None,Low,20.3,8.7,21.5,16,8,11,3,7,64.4,1
29-10-2024,Gippsland,Spring,None,Low,23.7,9.1,28.1,4,5,4,1,3,36.9,0
30-10-2024,Melbourne Metro,Spring,None,Low,16.2,2.9,25.5,5,1,2,6,1,37.9,1
31-10-2024,Melbourne Metro,Spring,Flood,Medium,23.5,13.4,17,8,9,6,2,3,72.7,0
01-11-2024,Shepparton,Spring,None,Medium,23.4,4.2,5,10,1,2,2,4,41.1,0
02-11-2024,Gippsland,Spring,None,Low,21,3.3,34.6,25,13,6,4,7,65.6,1
03-11-2024,Melbourne Metro,Spring,None,Low,24.2,1.9,27,10,5,2,4,1,29.8,0
04-11-2024,Melbourne Metro,Spring,None,Medium,24.3,6.9,23.9,31,11,8,0,5,71.2,1
05-11-2024,Geelong,Spring,None,Medium,21.5,4.2,17.5,9,4,5,7,2,56.6,0
06-11-2024,Geelong,Spring,None,Low,10.7,3.6,33.6,6,3,3,2,0,29,0
07-11-2024,Bendigo,Spring,None,Low,20.7,9.9,21.8,9,6,2,2,1,31,0
08-11-2024,Bendigo,Spring,Flood,Medium,10.1,10.3,28.4,14,7,4,3,2,68.3,0
09-11-2024,Bendigo,Spring,None,Low,13.9,0.1,24.1,3,5,5,1,0,29.1,0
10-11-2024,Geelong,Spring,None,Low,20.7,6.8,27.5,7,3,2,2,2,32.3,0
11-11-2024,Bendigo,Spring,None,Low,17.4,7.2,25.7,6,2,4,1,1,27.4,0
12-11-2024,Melbourne Metro,Spring,None,Low,16.8,1.2,15.4,3,2,4,2,1,27.8,0
13-11-2024,Geelong,Spring,None,Low,15.9,1.9,31.4,3,3,3,3,1,30.7,0
14-11-2024,Bendigo,Spring,None,Medium,13.1,6.3,14,8,6,2,3,3,46,0
15-11-2024,Melbourne Metro,Spring,None,Low,21,9.3,31.6,7,5,2,3,3,35.6,0
16-11-2024,Bendigo,Spring,None,Low,18.4,2.4,31,7,3,1,3,0,21.9,0
17-11-2024,Ballarat,Spring,None,Medium,18.3,4.4,20,7,7,6,4,2,60.3,0
18-11-2024,Bendigo,Spring,None,Low,20,2.6,21,6,2,4,2,1,29.5,0
19-11-2024,Ballarat,Spring,None,Low,17.6,7.6,20.4,7,7,2,3,3,36.8,0
20-11-2024,Bendigo,Spring,None,Low,25.3,5.8,13.6,7,4,1,2,3,26.2,0
21-11-2024,Shepparton,Spring,None,Low,24.4,3.2,16.8,8,4,1,3,0,26.8,0
22-11-2024,Shepparton,Spring,None,Medium,26.4,4,17,8,5,5,6,2,58.9,0
23-11-2024,Gippsland,Spring,None,Low,24.6,3.7,29.4,3,2,2,3,0,20.5,0
24-11-2024,Shepparton,Spring,None,Low,20.8,4.5,32.5,1,9,2,3,2,37.4,0
25-11-2024,Shepparton,Spring,None,Low,18.2,8.3,18.4,3,6,2,1,1,30.2,0
26-11-2024,Bendigo,Spring,None,Medium,15.1,7.5,28,12,6,3,1,1,48.4,0
27-11-2024,Geelong,Spring,None,Low,20.2,2.9,17.6,6,3,2,4,2,30,0
28-11-2024,Geelong,Spring,None,Low,17.8,3.1,14.5,8,3,1,2,2,28.7,0
29-11-2024,Ballarat,Spring,None,Medium,22.7,9.8,25.5,4,4,1,6,4,46.7,0
30-11-2024,Geelong,Spring,None,Medium,17.7,5.2,34.9,12,2,2,0,3,45.8,0
01-12-2024,Melbourne Metro,Summer,None,Medium,25.2,4,28.1,4,4,4,1,1,42.5,0
02-12-2024,Gippsland,Summer,None,Low,23.5,0.9,33.6,5,7,1,1,0,27.4,0
03-12-2024,Shepparton,Summer,Bushfire,High,33.2,1.7,32.7,6,6,6,2,5,80.5,0
04-12-2024,Gippsland,Summer,None,High,34.5,2.9,29.3,9,5,8,3,2,73,0
05-12-2024,Melbourne Metro,Summer,Bushfire,High,33.4,1.7,28,20,13,15,4,8,100,1
06-12-2024,Shepparton,Summer,None,Low,30.8,3.7,31.5,5,5,2,0,1,28,0
07-12-2024,Ballarat,Summer,Bushfire,High,36.3,1.9,38.8,8,13,7,2,7,96.9,0
08-12-2024,Melbourne Metro,Summer,None,Low,29.5,6.8,24.8,5,2,5,4,1,32.9,0
09-12-2024,Melbourne Metro,Summer,None,Low,30.2,7.5,25.8,10,0,3,2,1,23.7,0
10-12-2024,Gippsland,Summer,None,Low,29.5,0.5,36.2,4,4,4,2,0,34.2,0
11-12-2024,Bendigo,Summer,None,Low,27.7,4.9,26.8,5,8,2,4,1,40.7,0
12-12-2024,Gippsland,Summer,None,Medium,31.8,4.3,35.5,27,17,9,1,9,84.6,1
13-12-2024,Gippsland,Summer,Bushfire,High,32.8,3.4,26.7,13,10,9,2,5,90,0
14-12-2024,Geelong,Summer,None,Low,30.7,0.8,26.3,10,5,2,3,0,34.6,0
15-12-2024,Melbourne Metro,Summer,None,Low,23.9,1.1,32,4,3,1,2,0,26.1,0
16-12-2024,Gippsland,Summer,None,Low,27.1,2.6,36.4,8,2,1,4,1,22.1,0
17-12-2024,Melbourne Metro,Summer,None,Low,28.2,0.6,18.5,6,2,2,3,2,30.9,0
18-12-2024,Geelong,Summer,None,Medium,28.2,3.9,27.7,11,3,0,0,0,32.1,0
19-12-2024,Melbourne Metro,Summer,None,Low,26.9,1.9,30.4,10,4,1,1,1,27.9,0
20-12-2024,Gippsland,Summer,None,Low,31.4,1.6,23.4,33,7,13,2,2,54.4,1
21-12-2024,Melbourne Metro,Summer,None,Medium,27.6,5.9,31.9,8,5,8,4,1,54.9,0
22-12-2024,Shepparton,Summer,Storm,Medium,26.6,0.9,40.1,22,18,12,3,7,90.7,1
23-12-2024,Geelong,Summer,None,Low,32.4,5.9,37.5,7,1,1,1,0,18,0
24-12-2024,Bendigo,Summer,None,Low,28.1,5.7,19.5,6,5,3,3,0,35.2,0
25-12-2024,Melbourne Metro,Summer,None,Low,32,2.6,24.6,8,4,1,3,2,28.8,0
26-12-2024,Gippsland,Summer,None,Low,27.2,1.2,25,5,4,2,3,0,29.9,0
27-12-2024,Geelong,Summer,None,Low,36.2,4.9,18.2,8,3,1,3,1,29.1,0
28-12-2024,Gippsland,Summer,Bushfire,Medium,33.5,2.7,21.4,6,9,3,0,3,65.7,0
29-12-2024,Gippsland,Summer,Bushfire,High,32.5,3.6,36.9,16,9,5,4,7,85.9,0
30-12-2024,Melbourne Metro,Summer,None,Low,27.2,0.9,31.4,6,2,0,3,1,25.5,0
31-12-2024,Gippsland,Summer,None,Medium,34.9,3.3,17.2,7,17,4,0,3,68.6,0
